observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
AKT001,AccKent Accountants,independent,SRC052,ltd,0-49k,COMP_ACCOUNTS,Monthly Limited Company Package,n/a,simple,47,modelA,£47/month recurring monthly fee for limited company accountant services,A,https://www.acckent.com/limited-company-accountant-fees,2025-01-05,England
AKT002,AccKent Accountants,independent,SRC052,ltd,50-99k,COMP_ACCOUNTS,Monthly Limited Company Package,n/a,simple,47,modelA,£47/month recurring monthly fee for limited company accountant services,A,https://www.acckent.com/limited-company-accountant-fees,2025-01-05,England
AKT003,AccKent Accountants,independent,SRC052,ltd,100-149k,COMP_ACCOUNTS,Monthly Limited Company Package,n/a,simple,47,modelA,£47/month recurring monthly fee for limited company accountant services,A,https://www.acckent.com/limited-company-accountant-fees,2025-01-05,England
AKT004,AccKent Accountants,independent,SRC052,ltd,0-49k,COMP_ACCOUNTS,One-Off Limited Company Accounts,n/a,simple,17,modelA,£199 one-off annual fee converted to monthly single payment option,A,https://www.acckent.com/limited-company-accountant-fees,2025-01-05,England
AKT005,AccKent Accountants,independent,SRC052,ltd,50-99k,COMP_ACCOUNTS,One-Off Limited Company Accounts,n/a,simple,17,modelA,£199 one-off annual fee converted to monthly single payment option,A,https://www.acckent.com/limited-company-accountant-fees,2025-01-05,England
