observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
MAS001,Maslins,independent,SRC057,ltd,0-49k,COMP_ACCOUNTS,Contractor Ltd Package,contractor,simple,119,modelA,£119+VAT/month; FreeAgent included payroll for 2 directors dedicated accountant annual accounts VAT returns,A,https://www.maslins.co.uk/,2025-01-05,England
MAS002,Maslins,independent,SRC057,ltd,50-99k,COMP_ACCOUNTS,Contractor Ltd Package,contractor,simple,119,modelA,£119+VAT/month; FreeAgent included payroll for 2 directors dedicated accountant annual accounts VAT returns,A,https://www.maslins.co.uk/,2025-01-05,England
MAS003,Maslins,independent,SRC057,ltd,100-149k,COMP_ACCOUNTS,Contractor Ltd Package,contractor,simple,119,modelA,£119+VAT/month; FreeAgent included payroll for 2 directors dedicated accountant annual accounts VAT returns,A,https://www.maslins.co.uk/,2025-01-05,England
